user_id,age,gender,city,city_tier,preferred_platform,activity_level,monthly_txn_frequency,device_type,registration_date
USR000024,30,Male,Ahmedabad,Tier1,PhonePe,Power,121,Android,2022-09-02
USR000025,33,Male,Jaipur,Tier2,WhatsApp Pay,Power,113,iOS,2020-09-25
USR000026,45,Male,Amritsar,Tier3,Google Pay,Power,109,Android,2020-12-29
USR000027,25,Female,Madurai,Tier2,Google Pay,High,30,Android,2021-10-13
USR000028,35,Male,Agra,Tier2,PhonePe,Low,4,Web,2021-06-13
USR000029,37,Male,Bangalore,Tier1,PhonePe,Low,2,Android,2019-08-09
USR000030,20,Female,Visakhapatnam,Tier2,Paytm,Medium,20,Android,2020-11-10
USR000031,38,Male,Bangalore,Tier1,Paytm,Medium,20,Android,2019-08-03
USR000032,24,Female,Lucknow,Tier2,PhonePe,Medium,8,iOS,2021-04-14
USR000033,21,Male,Kanpur,Tier2,Google Pay,Medium,15,Android,2021-04-28
USR000034,57,Female,Ranchi,Tier2,Paytm,Power,64,Android,2021-07-21
USR000035,60,Female,Hyderabad,Tier1,Paytm,Medium,14,iOS,2020-12-23
USR000036,46,Female,Pune,Tier1,Paytm,Low,3,Android,2022-05-26
USR000037,28,Female,Agra,Tier2,Google Pay,Low,1,iOS,2020-01-20
USR000038,22,Female,Kanpur,Tier2,Google Pay,Low,3,Android,2020-01-09
USR000039,41,Female,Delhi,Tier1,Google Pay,Medium,15,Android,2020-05-22
USR000040,32,Female,Bangalore,Tier1,CRED,Low,3,iOS,2021-09-07
USR000041,23,Male,Guwahati,Tier3,PhonePe,High,22,iOS,2021-01-18
USR000042,34,Male,Indore,Tier2,Paytm,High,42,Android,2019-12-23
USR000043,19,Female,Chennai,Tier1,Google Pay,Medium,11,Android,2020-11-11
USR000044,52,Male,Indore,Tier2,PhonePe,Medium,17,Web,2020-05-15
USR000045,27,Female,Hyderabad,Tier1,PhonePe,High,50,Web,2022-04-05
USR000046,40,Female,Nagpur,Tier2,Google Pay,Low,3,Android,2021-10-13
USR000047,28,Male,Chennai,Tier1,Paytm,Medium,14,Web,2021-11-24
USR000048,35,Male,Ranchi,Tier2,PhonePe,Medium,14,Android,2020-02-05
USR000049,36,Male,Ghaziabad,Tier3,Paytm,Medium,16,iOS,2020-10-02
USR000050,25,Male,Amritsar,Tier3,Paytm,Medium,11,Android,2021-12-28
USR000051,60,Male,Aurangabad,Tier3,PhonePe,Medium,15,Android,2020-04-05
USR000052,45,Female,Nagpur,Tier2,Paytm,Medium,9,iOS,2022-08-08
USR000053,56,Male,Varanasi,Tier3,Paytm,Medium,13,iOS,2021-01-08
USR000054,50,Female,Madurai,Tier2,Google Pay,Medium,15,Android,2020-07-17
USR000055,38,Female,Vadodara,Tier2,Google Pay,Power,146,Android,2019-11-10
USR000056,54,Female,Guwahati,Tier3,Paytm,Medium,10,Android,2021-09-13
USR000057,22,Male,Delhi,Tier1,PhonePe,Medium,17,Android,2019-06-23
USR000058,25,Female,Jaipur,Tier2,PhonePe,Medium,17,Android,2022-05-05
USR000059,20,Female,Chandigarh,Tier3,Paytm,High,44,Android,2022-04-10
USR000060,29,Female,Hyderabad,Tier1,PhonePe,Medium,11,iOS,2022-03-19
USR000061,30,Male,Aurangabad,Tier3,WhatsApp Pay,Medium,15,Android,2019-01-06
USR000062,27,Male,Ahmedabad,Tier1,PhonePe,Medium,9,iOS,2020-06-09
USR000063,47,Other,Pune,Tier1,PhonePe,Low,1,Android,2022-09-24
USR000064,29,Female,Madurai,Tier2,Amazon Pay,Low,1,Android,2019-05-10
USR000065,27,Female,Lucknow,Tier2,Google Pay,Medium,18,Web,2021-01-12
USR000066,36,Female,Madurai,Tier2,Paytm,Power,90,iOS,2020-12-04
USR000067,23,Male,Agra,Tier2,PhonePe,Medium,7,Android,2020-07-02
USR000068,46,Male,Noida,Tier3,Paytm,Medium,16,Android,2019-11-18
USR000069,21,Male,Moradabad,Tier3,PhonePe,Power,106,Android,2022-02-07
USR000070,63,Female,Surat,Tier2,Paytm,Medium,13,Android,2021-10-26
USR000071,45,Male,Delhi,Tier1,PhonePe,Medium,15,Android,2021-06-29
USR000072,25,Female,Amritsar,Tier3,Google Pay,Medium,11,Android,2020-11-01
USR000073,18,Female,Hyderabad,Tier1,PhonePe,High,45,Android,2019-09-19
USR000074,47,Female,Madurai,Tier2,PhonePe,Medium,17,Android,2022-04-23
USR000075,42,Male,Bhopal,Tier2,Google Pay,High,43,Android,2021-07-18
USR000076,43,Male,Hyderabad,Tier1,PhonePe,High,27,iOS,2021-02-06
USR000077,45,Male,Gorakhpur,Tier3,Google Pay,Power,97,Android,2020-01-21
USR000078,21,Female,Indore,Tier2,PhonePe,Low,3,Android,2019-10-18
USR000079,29,Female,Noida,Tier3,PhonePe,Medium,8,Android,2019-04-19
USR000080,23,Female,Tiruchirappalli,Tier3,Google Pay,Medium,8,Android,2021-02-20
USR000081,49,Male,Pune,Tier1,Google Pay,High,37,Android,2019-03-06
USR000082,38,Male,Bareilly,Tier3,PhonePe,High,24,Android,2019-11-09
USR000083,29,Female,Kanpur,Tier2,PhonePe,Medium,6,Android,2020-05-23
USR000084,20,Female,Chennai,Tier1,Paytm,High,42,iOS,2020-11-21
USR000085,28,Male,Coimbatore,Tier2,Paytm,Low,1,Android,2019-04-04
USR000086,29,Male,Mumbai,Tier1,PhonePe,Medium,20,Android,2022-12-16
USR000087,43,Female,Indore,Tier2,Google Pay,Medium,15,Android,2019-04-10
USR000088,39,Female,Hyderabad,Tier1,WhatsApp Pay,High,21,Android,2020-12-14
USR000089,50,Female,Bangalore,Tier1,Google Pay,High,39,Android,2021-10-01
USR000090,33,Male,Kolkata,Tier1,Google Pay,Medium,19,Android,2020-04-18
USR000091,23,Male,Visakhapatnam,Tier2,Paytm,Medium,7,Web,2020-09-29
USR000092,42,Male,Vadodara,Tier2,Paytm,Low,5,Android,2022-07-01
USR000093,44,Male,Aligarh,Tier3,Paytm,Medium,8,Android,2019-01-13
USR000094,36,Male,Hyderabad,Tier1,Paytm,Medium,14,iOS,2020-07-07
USR000095,45,Male,Delhi,Tier1,Google Pay,Low,3,Android,2020-12-08
USR000096,34,Female,Patna,Tier2,Google Pay,Medium,14,Android,2019-08-03
USR000097,35,Female,Bareilly,Tier3,PhonePe,High,21,iOS,2020-11-27
USR000098,32,Female,Coimbatore,Tier2,Google Pay,Low,5,Android,2022-11-28
USR000099,19,Female,Bhopal,Tier2,CRED,Power,80,Android,2022-04-07
USR000100,22,Other,Ahmedabad,Tier1,Paytm,High,46,Android,2022-07-23
USR000101,19,Male,Kolkata,Tier1,CRED,High,37,Android,2022-12-18
USR000102,39,Male,Aurangabad,Tier3,PhonePe,High,40,Android,2020-07-14
USR000103,28,Female,Pune,Tier1,Amazon Pay,High,38,Android,2021-11-03
USR000104,34,Female,Indore,Tier2,WhatsApp Pay,High,45,Android,2021-05-16
USR000105,52,Male,Chennai,Tier1,CRED,Low,1,Android,2022-11-05
USR000106,26,Female,Coimbatore,Tier2,Paytm,Low,1,Android,2019-03-29
USR000107,31,Female,Aurangabad,Tier3,PhonePe,High,42,Android,2020-11-27
USR000108,44,Female,Bangalore,Tier1,PhonePe,Power,105,Android,2019-04-10
USR000109,26,Male,Pune,Tier1,CRED,Low,4,Android,2019-03-27
USR000110,21,Male,Pune,Tier1,PhonePe,Medium,20,iOS,2022-08-08
USR000111,28,Female,Hyderabad,Tier1,Google Pay,Medium,15,iOS,2019-03-28
USR000112,24,Male,Kanpur,Tier2,Google Pay,Power,107,Android,2022-12-12
USR000113,55,Female,Chennai,Tier1,PhonePe,Medium,8,Android,2022-05-07
USR000114,46,Female,Indore,Tier2,CRED,Medium,18,iOS,2019-06-19
USR000115,39,Male,Lucknow,Tier2,PhonePe,Power,122,iOS,2021-12-19
USR000116,49,Female,Delhi,Tier1,Google Pay,High,33,Android,2021-01-13
USR000117,46,Female,Mumbai,Tier1,Google Pay,Power,79,Android,2019-10-28
USR000118,25,Other,Agra,Tier2,PhonePe,Medium,6,Android,2019-03-25
USR000119,50,Female,Bangalore,Tier1,Google Pay,Medium,12,iOS,2022-10-06
USR000120,35,Male,Nashik,Tier2,Google Pay,Medium,6,Android,2019-09-07
USR000121,46,Male,Kolkata,Tier1,PhonePe,High,41,Android,2022-06-18
USR000122,50,Male,Aligarh,Tier3,PhonePe,Medium,6,Android,2022-07-24
USR000123,28,Male,Lucknow,Tier2,Paytm,Medium,9,Android,2020-03-10
USR000124,23,Male,Meerut,Tier3,PhonePe,Power,73,iOS,2022-06-27
USR000125,26,Male,Kolkata,Tier1,Paytm,Medium,6,iOS,2019-05-30
USR000126,32,Male,Agra,Tier2,PhonePe,Medium,14,Android,2019-06-09
USR000127,47,Female,Agra,Tier2,Paytm,High,35,Android,2020-06-22
USR000128,49,Male,Visakhapatnam,Tier2,Google Pay,Low,4,Android,2019-12-10
USR000129,18,Male,Kolkata,Tier1,Google Pay,Medium,13,iOS,2019-12-05
USR000130,34,Male,Hyderabad,Tier1,Google Pay,High,47,iOS,2021-12-17
USR000131,31,Male,Kolkata,Tier1,Paytm,Medium,16,iOS,2020-06-03
USR000132,26,Female,Delhi,Tier1,Paytm,Medium,14,Android,2021-04-03
USR000133,23,Male,Visakhapatnam,Tier2,Google Pay,High,50,Android,2019-11-16
USR000134,29,Male,Delhi,Tier1,Google Pay,Medium,9,Android,2021-09-01
USR000135,57,Female,Chennai,Tier1,Google Pay,High,47,Android,2020-09-01
USR000136,28,Male,Chennai,Tier1,PhonePe,Medium,20,iOS,2019-03-14
USR000137,35,Male,Visakhapatnam,Tier2,PhonePe,High,44,Android,2020-07-09
USR000138,41,Male,Kolkata,Tier1,PhonePe,Medium,15,iOS,2019-11-27
USR000139,30,Male,Delhi,Tier1,PhonePe,High,35,iOS,2020-04-27
USR000140,61,Male,Pune,Tier1,PhonePe,High,37,Android,2022-10-31
USR000141,59,Male,Faridabad,Tier3,PhonePe,Medium,18,Android,2022-05-31
USR000142,26,Female,Pune,Tier1,PhonePe,Medium,14,Android,2021-12-27
USR000143,34,Male,Faridabad,Tier3,Google Pay,Medium,19,Android,2019-06-04
USR000144,28,Male,Indore,Tier2,PhonePe,Low,3,Android,2021-02-27
USR000145,27,Male,Visakhapatnam,Tier2,CRED,Medium,12,Android,2021-03-16
USR000146,19,Female,Kolkata,Tier1,Paytm,Low,1,Android,2019-01-01
USR000147,38,Male,Nashik,Tier2,Google Pay,Low,1,Android,2022-05-12
USR000148,34,Female,Rajkot,Tier3,PhonePe,High,45,Android,2020-03-22
USR000149,20,Male,Noida,Tier3,Google Pay,Power,91,Android,2020-01-24
USR000150,27,Male,Indore,Tier2,Paytm,Medium,14,Android,2021-07-16
USR000151,52,Male,Indore,Tier2,PhonePe,High,40,Android,2021-04-24
USR000152,26,Male,Faridabad,Tier3,Google Pay,High,40,Web,2022-07-19
USR000153,24,Male,Madurai,Tier2,CRED,Medium,14,Android,2022-11-07
USR000154,34,Male,Gorakhpur,Tier3,Google Pay,Low,3,Android,2019-03-10
USR000155,63,Male,Madurai,Tier2,Google Pay,Medium,7,Android,2020-04-20
USR000156,26,Male,Ghaziabad,Tier3,CRED,Medium,16,Android,2020-11-27
USR000157,40,Female,Kanpur,Tier2,Google Pay,Power,133,iOS,2021-12-29
USR000158,44,Male,Nashik,Tier2,Amazon Pay,Power,136,Android,2020-12-06
USR000159,26,Male,Kanpur,Tier2,Amazon Pay,Medium,9,Android,2022-06-21
USR000160,43,Female,Gorakhpur,Tier3,Paytm,High,42,Android,2020-12-25
USR000161,30,Female,Kanpur,Tier2,PhonePe,High,49,Android,2019-03-10
USR000162,39,Male,Agra,Tier2,PhonePe,Medium,18,Android,2020-03-08
USR000163,39,Male,Moradabad,Tier3,CRED,Low,5,Android,2020-07-23
USR000164,35,Female,Kanpur,Tier2,Paytm,High,29,iOS,2021-03-23
USR000165,22,Male,Lucknow,Tier2,Paytm,Medium,10,Android,2019-08-19
USR000166,48,Female,Nashik,Tier2,Google Pay,Power,95,Android,2020-11-23
USR000167,28,Female,Bhopal,Tier2,PhonePe,Power,91,iOS,2020-03-19
USR000168,25,Female,Madurai,Tier2,PhonePe,Low,4,Android,2019-01-06
USR000169,19,Male,Ranchi,Tier2,PhonePe,Medium,14,Android,2022-05-24
USR000170,37,Female,Chennai,Tier1,PhonePe,Medium,13,Android,2019-07-23
USR000171,40,Female,Coimbatore,Tier2,Google Pay,Medium,10,Android,2020-09-24
USR000172,18,Male,Coimbatore,Tier2,Paytm,Medium,7,Web,2019-08-30
USR000173,35,Male,Visakhapatnam,Tier2,CRED,Low,4,iOS,2022-09-07
USR000174,26,Female,Delhi,Tier1,Paytm,High,22,iOS,2019-09-14
USR000175,39,Female,Ahmedabad,Tier1,WhatsApp Pay,Medium,18,Web,2022-04-21
USR000176,24,Male,Hyderabad,Tier1,PhonePe,Low,1,Web,2021-11-02
USR000177,41,Male,Indore,Tier2,PhonePe,High,48,Android,2019-02-09
USR000178,30,Female,Kolkata,Tier1,Google Pay,Medium,20,Android,2021-08-07
USR000179,56,Male,Ranchi,Tier2,Paytm,Medium,17,Web,2022-02-19
USR000180,23,Female,Chennai,Tier1,PhonePe,Low,3,Android,2019-12-05
USR000181,29,Female,Patna,Tier2,PhonePe,High,34,iOS,2021-09-13
USR000182,23,Female,Pune,Tier1,Google Pay,High,25,Android,2021-02-14
USR000183,54,Male,Hyderabad,Tier1,Paytm,Medium,15,Android,2019-09-22
USR000184,49,Female,Patna,Tier2,Paytm,Medium,11,Android,2022-01-14
USR000185,27,Male,Bangalore,Tier1,Google Pay,Medium,7,Android,2019-10-07
USR000186,40,Male,Chandigarh,Tier3,Paytm,Power,60,iOS,2021-01-10
USR000187,47,Male,Lucknow,Tier2,Paytm,Power,141,Android,2021-12-23
USR000188,36,Male,Amritsar,Tier3,Paytm,Power,116,Web,2021-11-13
USR000189,35,Female,Jodhpur,Tier3,Paytm,Low,5,Android,2019-09-22
USR000190,26,Male,Lucknow,Tier2,PhonePe,Medium,14,Android,2020-02-15
USR000191,22,Female,Kolkata,Tier1,Google Pay,Medium,11,Android,2019-05-29
USR000192,50,Male,Aurangabad,Tier3,Google Pay,Power,117,Android,2022-12-16
USR000193,51,Male,Hyderabad,Tier1,PhonePe,Power,83,Web,2022-09-03
USR000194,39,Male,Chennai,Tier1,Google Pay,Low,2,Android,2019-03-05
USR000195,29,Female,Mysore,Tier3,CRED,Medium,7,Android,2020-04-01
USR000196,29,Male,Pune,Tier1,Google Pay,Low,5,iOS,2019-10-28
USR000197,42,Male,Indore,Tier2,Google Pay,High,34,Android,2020-04-10
USR000198,50,Male,Kolkata,Tier1,Paytm,High,45,Android,2020-06-02
USR000199,50,Female,Delhi,Tier1,PhonePe,Medium,6,Android,2020-02-23
USR000200,45,Male,Amritsar,Tier3,Paytm,Power,71,Android,2021-10-12
USR000201,39,Male,Indore,Tier2,Google Pay,Low,4,Android,2021-04-29
USR000202,21,Female,Ahmedabad,Tier1,Google Pay,High,38,Android,2021-04-08
USR000203,24,Male,Jabalpur,Tier3,Paytm,Medium,6,Android,2021-04-03
USR000204,50,Male,Ahmedabad,Tier1,Paytm,Medium,16,Android,2022-07-24
USR000205,38,Male,Bhopal,Tier2,Google Pay,Medium,9,Android,2019-11-07
USR000206,18,Male,Kolkata,Tier1,Paytm,Medium,15,Web,2019-05-04
USR000207,22,Female,Pune,Tier1,WhatsApp Pay,High,31,Android,2019-12-16
USR000208,40,Female,Indore,Tier2,Google Pay,Low,3,iOS,2019-07-28
USR000209,18,Female,Agra,Tier2,Google Pay,Medium,16,Android,2019-09-19
USR000210,24,Male,Ahmedabad,Tier1,PhonePe,High,47,Android,2021-02-18
USR000211,36,Male,Delhi,Tier1,PhonePe,Medium,8,Android,2020-12-15
USR000212,41,Male,Patna,Tier2,CRED,High,25,Android,2022-06-10
USR000213,39,Female,Vadodara,Tier2,Google Pay,Power,94,Android,2022-07-30
USR000214,26,Male,Guwahati,Tier3,Google Pay,Low,2,Web,2022-08-19
USR000215,42,Female,Chennai,Tier1,Paytm,High,36,Web,2019-02-04
USR000216,26,Female,Indore,Tier2,PhonePe,High,33,iOS,2021-06-07
USR000217,29,Male,Chennai,Tier1,Amazon Pay,Low,4,Android,2019-08-14
USR000218,43,Male,Ranchi,Tier2,Google Pay,Medium,15,Android,2019-04-01
USR000219,39,Male,Jodhpur,Tier3,Google Pay,Low,4,iOS,2019-03-04
USR000220,48,Female,Bangalore,Tier1,Google Pay,Power,76,Android,2019-08-09
USR000221,40,Female,Mumbai,Tier1,CRED,Low,5,Web,2019-08-07
USR000222,36,Male,Amritsar,Tier3,Google Pay,High,33,iOS,2022-05-31
USR000223,22,Male,Chandigarh,Tier3,CRED,Low,5,Web,2022-12-18
USR000224,30,Female,Patna,Tier2,CRED,Low,5,Android,2019-03-02
USR000225,27,Female,Coimbatore,Tier2,PhonePe,Low,3,Android,2019-07-25
USR000226,26,Female,Coimbatore,Tier2,CRED,High,23,Android,2020-11-25
USR000227,61,Male,Kolkata,Tier1,Amazon Pay,Low,4,Android,2019-06-15
USR000228,30,Male,Surat,Tier2,PhonePe,High,42,Android,2022-12-15
USR000229,50,Female,Ranchi,Tier2,CRED,High,24,Android,2020-07-16
USR000230,39,Male,Nagpur,Tier2,Amazon Pay,Medium,17,Android,2021-10-26
USR000231,46,Female,Vadodara,Tier2,Paytm,High,45,Android,2019-03-25
USR000232,34,Female,Agra,Tier2,Google Pay,Power,121,Android,2019-11-14
USR000233,37,Female,Kanpur,Tier2,PhonePe,Medium,16,Android,2020-09-24
USR000234,34,Female,Madurai,Tier2,PhonePe,Low,4,Android,2020-05-16
USR000235,25,Male,Mumbai,Tier1,Google Pay,High,23,Android,2020-07-26
USR000236,42,Male,Jaipur,Tier2,Amazon Pay,Low,4,Android,2021-05-21
USR000237,27,Male,Agra,Tier2,Google Pay,Medium,13,Android,2020-04-14
USR000238,19,Male,Vadodara,Tier2,PhonePe,High,38,iOS,2019-01-18
USR000239,39,Male,Mumbai,Tier1,Paytm,Power,120,Android,2020-08-22
USR000240,24,Male,Ahmedabad,Tier1,PhonePe,Medium,6,iOS,2021-09-01
USR000241,56,Female,Meerut,Tier3,PhonePe,Low,5,iOS,2019-03-28
USR000242,58,Male,Mumbai,Tier1,Google Pay,Medium,18,Android,2022-11-22
USR000243,53,Other,Kolkata,Tier1,Google Pay,High,30,Android,2019-06-23
USR000244,30,Female,Indore,Tier2,PhonePe,Power,105,Android,2021-01-13
USR000245,18,Male,Pune,Tier1,Paytm,Medium,12,iOS,2022-05-01
USR000246,55,Female,Nashik,Tier2,PhonePe,High,35,Web,2021-07-21
USR000247,32,Female,Kanpur,Tier2,Google Pay,Medium,16,Android,2022-07-01
USR000248,60,Male,Nagpur,Tier2,PhonePe,Medium,15,iOS,2022-01-18
USR000249,59,Male,Vadodara,Tier2,PhonePe,Medium,10,Android,2020-04-02
USR000250,48,Male,Agra,Tier2,WhatsApp Pay,Medium,17,iOS,2021-10-07
USR000251,28,Male,Madurai,Tier2,PhonePe,Medium,10,Android,2022-01-20
USR000252,30,Male,Ahmedabad,Tier1,Paytm,Medium,11,iOS,2019-06-06
USR000253,48,Male,Jaipur,Tier2,PhonePe,Power,88,Android,2022-12-22
USR000254,28,Female,Nashik,Tier2,PhonePe,Medium,10,Android,2019-07-28
USR000255,24,Male,Kanpur,Tier2,Paytm,Medium,17,iOS,2020-11-21
USR000256,36,Female,Faridabad,Tier3,Google Pay,High,42,Android,2021-03-18
USR000257,56,Male,Jodhpur,Tier3,PhonePe,Low,2,Android,2022-01-13
USR000258,41,Male,Moradabad,Tier3,Paytm,Low,5,iOS,2022-10-16
USR000259,37,Male,Indore,Tier2,PhonePe,High,50,Android,2020-04-24
USR000260,22,Male,Hyderabad,Tier1,Google Pay,Medium,10,Web,2022-11-15
USR000261,38,Female,Nagpur,Tier2,WhatsApp Pay,Medium,16,Android,2021-06-06
USR000262,63,Female,Vadodara,Tier2,Google Pay,High,36,Android,2022-08-25
USR000263,23,Female,Varanasi,Tier3,CRED,Power,139,Android,2019-08-02
USR000264,35,Male,Delhi,Tier1,Paytm,Medium,15,iOS,2019-04-16
USR000265,49,Male,Hyderabad,Tier1,Google Pay,High,23,Android,2021-05-21
USR000266,43,Female,Tiruchirappalli,Tier3,Paytm,Medium,18,Android,2021-09-04
USR000267,41,Female,Kolkata,Tier1,PhonePe,Medium,11,Android,2019-05-03
USR000268,41,Female,Mysore,Tier3,PhonePe,Medium,13,Android,2020-03-18
USR000269,29,Male,Pune,Tier1,PhonePe,High,23,Android,2022-01-31
USR000270,28,Male,Aurangabad,Tier3,Paytm,Medium,7,iOS,2020-08-04
USR000271,46,Male,Delhi,Tier1,PhonePe,Medium,14,Android,2021-01-10
USR000272,46,Female,Kolkata,Tier1,CRED,Low,4,Android,2019-10-10
USR000273,49,Male,Jodhpur,Tier3,Google Pay,Low,4,Android,2020-12-17
USR000274,52,Female,Pune,Tier1,PhonePe,Medium,11,Android,2020-09-08
USR000275,35,Male,Patna,Tier2,PhonePe,Medium,11,iOS,2020-08-08
USR000276,34,Female,Visakhapatnam,Tier2,Paytm,High,30,Android,2020-08-18
USR000277,46,Male,Kanpur,Tier2,WhatsApp Pay,Power,132,Android,2022-04-15
USR000278,39,Male,Pune,Tier1,PhonePe,High,50,Web,2020-02-12
USR000279,41,Female,Mumbai,Tier1,Amazon Pay,Medium,13,Android,2020-02-23
USR000280,46,Male,Bareilly,Tier3,Paytm,Low,3,Android,2021-10-22
USR000281,50,Male,Patna,Tier2,WhatsApp Pay,Medium,14,Android,2022-03-09
USR000282,29,Female,Bikaner,Tier3,Google Pay,Power,135,Android,2019-08-29
USR000283,30,Male,Surat,Tier2,WhatsApp Pay,High,31,Android,2019-10-09
USR000284,22,Male,Hyderabad,Tier1,Google Pay,Medium,17,Android,2019-04-11
USR000285,37,Male,Pune,Tier1,Amazon Pay,Low,2,Android,2022-06-01
USR000286,19,Male,Patna,Tier2,PhonePe,High,23,Android,2022-04-28
USR000287,33,Male,Kolkata,Tier1,Google Pay,High,44,Android,2021-08-27
USR000288,36,Female,Pune,Tier1,Amazon Pay,Medium,16,Android,2022-03-21
USR000289,27,Male,Hyderabad,Tier1,Google Pay,Medium,17,Android,2019-08-01
USR000290,37,Male,Noida,Tier3,PhonePe,High,31,Android,2022-08-18
USR000291,19,Male,Gorakhpur,Tier3,WhatsApp Pay,Medium,15,Android,2022-12-21
USR000292,19,Male,Kanpur,Tier2,Paytm,High,40,Android,2020-08-22
USR000293,47,Female,Chennai,Tier1,PhonePe,Medium,14,Android,2020-07-21
USR000294,30,Male,Patna,Tier2,Google Pay,High,26,Android,2021-02-19
USR000295,23,Female,Ghaziabad,Tier3,PhonePe,Medium,13,Web,2021-02-08
USR000296,35,Female,Patna,Tier2,Google Pay,Medium,13,iOS,2020-06-26
USR000297,45,Female,Mumbai,Tier1,PhonePe,Medium,18,iOS,2021-11-24
USR000298,25,Female,Lucknow,Tier2,Google Pay,Medium,19,Android,2019-11-19
USR000299,38,Male,Vadodara,Tier2,PhonePe,Medium,10,Android,2020-09-24
USR000300,21,Female,Aligarh,Tier3,CRED,Low,2,Android,2021-09-09
USR000301,20,Female,Coimbatore,Tier2,Google Pay,High,27,Android,2019-06-05
USR000302,35,Other,Kanpur,Tier2,PhonePe,High,29,Android,2020-04-11
USR000303,36,Male,Pune,Tier1,Amazon Pay,Power,67,Android,2019-07-30
USR000304,39,Male,Tiruchirappalli,Tier3,Google Pay,Medium,16,Android,2021-12-11
USR000305,42,Female,Rajkot,Tier3,Google Pay,High,36,iOS,2019-09-01
USR000306,61,Male,Rajkot,Tier3,Paytm,Medium,19,Web,2020-07-23
USR000307,35,Female,Moradabad,Tier3,PhonePe,High,39,Android,2021-05-23
USR000308,28,Male,Mumbai,Tier1,PhonePe,High,24,Android,2022-03-28
USR000309,46,Male,Allahabad,Tier3,WhatsApp Pay,Power,86,Android,2021-03-28
USR000310,27,Female,Bangalore,Tier1,PhonePe,High,41,Android,2020-05-22
USR000311,32,Male,Kanpur,Tier2,Google Pay,Medium,6,Android,2021-10-25
USR000312,21,Male,Aurangabad,Tier3,Google Pay,Medium,17,Android,2020-08-05
USR000313,19,Male,Pune,Tier1,Paytm,High,42,Android,2021-12-08
USR000314,59,Female,Kanpur,Tier2,Google Pay,High,34,iOS,2021-05-03
USR000315,48,Female,Delhi,Tier1,PhonePe,Low,4,Android,2021-10-11
USR000316,41,Male,Nagpur,Tier2,Google Pay,High,45,iOS,2022-09-24
USR000317,31,Female,Allahabad,Tier3,Google Pay,Medium,10,iOS,2019-07-01
USR000318,24,Other,Pune,Tier1,PhonePe,Medium,7,Web,2022-06-23
USR000319,24,Female,Pune,Tier1,Google Pay,High,23,Android,2021-04-14
USR000320,26,Female,Mumbai,Tier1,Amazon Pay,Medium,16,Android,2021-10-31
USR000321,36,Male,Coimbatore,Tier2,Google Pay,High,30,Android,2019-11-09
USR000322,42,Female,Bikaner,Tier3,PhonePe,Medium,10,iOS,2019-04-24
USR000323,40,Female,Delhi,Tier1,Amazon Pay,Low,5,Android,2021-04-15
USR000324,27,Male,Mumbai,Tier1,Paytm,High,32,iOS,2020-02-03
USR000325,58,Female,Kolkata,Tier1,PhonePe,High,49,Android,2021-05-25
USR000326,43,Male,Guwahati,Tier3,Google Pay,Medium,16,Android,2022-02-20
USR000327,36,Female,Surat,Tier2,PhonePe,Low,1,Android,2021-12-09
USR000328,38,Female,Jaipur,Tier2,CRED,Low,1,Android,2022-11-18
USR000329,31,Male,Faridabad,Tier3,Google Pay,Power,82,iOS,2021-09-12
USR000330,26,Other,Delhi,Tier1,Google Pay,Low,1,Web,2022-12-08
