user_id,total_txns,total_spend,avg_txn_amount,max_txn_amount,unique_merchants,unique_categories,unique_platforms,failed_txns,fraud_txns,cross_city_txns,festival_txns,failure_rate,cross_city_rate,festival_txn_rate,avg_spend_per_day
USR000046,58,200845.1,3462.846551724138,36533.67,58,17,4,3,0,53,16,5.17,91.38,27.59,275.13
USR000047,39,105791.49,2712.602307692308,12729.48,38,15,4,2,0,38,19,5.13,97.44,48.72,144.92
USR000048,39,80873.76,2073.6861538461535,15456.7,38,16,3,4,0,39,15,10.26,100.0,38.46,110.79
USR000049,39,179711.25,4607.9807692307695,50000.0,39,15,4,3,0,38,10,7.69,97.44,25.64,246.18
USR000050,44,228277.33,5188.121136363636,117253.93,43,16,4,3,0,44,14,6.82,100.0,31.82,312.71
USR000051,45,125341.43,2785.3651111111108,21903.44,44,15,4,3,0,45,21,6.67,100.0,46.67,171.7
USR000052,54,126413.87,2340.9975925925924,15361.14,54,17,6,3,0,54,15,5.56,100.0,27.78,173.17
USR000053,58,256425.29,4421.125689655172,37659.14,55,17,4,8,0,57,23,13.79,98.28,39.66,351.27
USR000054,47,125710.53,2674.6921276595745,23925.11,45,16,4,4,0,46,19,8.51,97.87,40.43,172.21
USR000055,38,113791.99,2994.526052631579,19677.59,38,17,3,2,0,36,10,5.26,94.74,26.32,155.88
USR000056,47,134893.42,2870.0727659574472,22512.75,47,17,4,5,0,47,12,10.64,100.0,25.53,184.79
USR000057,41,212519.83000000002,5183.410487804878,62006.77,41,15,3,2,0,38,13,4.88,92.68,31.71,291.12
USR000058,53,116570.42,2199.441886792453,14369.66,52,18,5,5,0,50,18,9.43,94.34,33.96,159.69
USR000059,46,196583.08,4273.5452173913045,28011.87,45,17,3,2,0,45,12,4.35,97.83,26.09,269.29
USR000060,48,145183.74,3024.6612499999997,17850.07,48,15,4,2,0,45,17,4.17,93.75,35.42,198.88
USR000061,60,131623.97,2193.7328333333335,15696.6,59,15,6,3,0,60,20,5.0,100.0,33.33,180.31
USR000062,49,168280.85,3434.3030612244897,21407.54,49,16,3,5,0,47,18,10.2,95.92,36.73,230.52
USR000063,44,194073.52000000002,4410.761818181819,32338.0,44,18,4,2,0,42,15,4.55,95.45,34.09,265.85
USR000064,54,191962.41999999998,3554.859629629629,37877.15,53,15,6,4,0,54,19,7.41,100.0,35.19,262.96
USR000065,58,180840.22,3117.934827586207,29559.36,58,16,4,8,0,58,21,13.79,100.0,36.21,247.73
USR000066,56,166012.65,2964.511607142857,15120.02,53,18,4,5,0,56,17,8.93,100.0,30.36,227.41
USR000067,45,108749.41,2416.6535555555556,17089.57,45,16,5,3,0,43,14,6.67,95.56,31.11,148.97
USR000068,57,210363.9,3690.5947368421052,24067.61,56,17,4,4,0,57,17,7.02,100.0,29.82,288.17
USR000069,45,145711.27,3238.028222222222,26558.84,45,16,4,1,0,45,13,2.22,100.0,28.89,199.6
USR000070,49,123439.95999999999,2519.182857142857,36911.0,49,17,4,0,0,49,13,0.0,100.0,26.53,169.1
USR000071,44,133591.59,3036.1725,23689.66,43,16,5,3,0,43,16,6.82,97.73,36.36,183.0
USR000072,60,141506.33,2358.438833333333,16797.86,59,16,5,3,0,60,20,5.0,100.0,33.33,193.84
USR000073,56,142872.43,2551.293392857143,14832.45,55,17,6,2,0,54,17,3.57,96.43,30.36,195.72
USR000074,50,123869.9,2477.3979999999997,15474.55,49,15,3,3,0,50,19,6.0,100.0,38.0,169.68
USR000075,44,191344.28,4348.733636363636,55981.52,44,15,3,2,0,41,12,4.55,93.18,27.27,262.12
USR000076,52,121783.42,2341.988846153846,16915.38,49,18,5,5,0,49,19,9.62,94.23,36.54,166.83
USR000077,50,161165.94,3223.3188,16024.34,47,16,3,7,0,50,16,14.0,100.0,32.0,220.78
USR000078,60,173890.82,2898.1803333333332,41146.04,60,15,4,3,0,57,13,5.0,95.0,21.67,238.21
USR000079,50,124249.31,2484.9862,14412.05,50,16,3,2,0,49,17,4.0,98.0,34.0,170.2
USR000080,46,114081.31,2480.0284782608696,12975.94,46,17,4,3,0,45,13,6.52,97.83,28.26,156.28
USR000081,41,142288.11,3470.441707317073,22488.75,41,17,3,3,0,36,15,7.32,87.8,36.59,194.92
USR000082,55,157983.5,2872.427272727273,26796.35,54,17,5,3,0,55,15,5.45,100.0,27.27,216.42
USR000083,54,155267.32,2875.320740740741,17253.55,52,18,3,1,0,54,21,1.85,100.0,38.89,212.69
USR000084,60,262848.71,4380.811833333334,32759.48,59,17,3,5,0,55,20,8.33,91.67,33.33,360.07
USR000085,50,128953.14,2579.0628,14464.83,50,17,5,3,0,46,16,6.0,92.0,32.0,176.65
USR000086,48,148902.16,3102.1283333333336,18906.14,48,14,3,1,0,47,15,2.08,97.92,31.25,203.98
USR000087,45,143905.44,3197.898666666667,26506.42,45,17,4,2,0,43,15,4.44,95.56,33.33,197.13
USR000088,44,97252.25,2210.278409090909,13915.3,43,13,5,2,0,40,14,4.55,90.91,31.82,133.22
USR000089,54,158510.57,2935.380925925926,67214.72,54,16,5,5,0,51,25,9.26,94.44,46.3,217.14
USR000090,44,116465.46,2646.9422727272727,22816.29,44,17,4,3,0,38,19,6.82,86.36,43.18,159.54
USR000091,46,123112.42,2676.356956521739,26842.88,46,15,4,2,0,46,18,4.35,100.0,39.13,168.65
USR000092,65,151010.52,2323.238769230769,15426.43,65,16,4,3,0,64,21,4.62,98.46,32.31,206.86
USR000093,44,124876.69,2838.1065909090908,18823.43,44,16,4,3,2,44,17,6.82,100.0,38.64,171.06
USR000094,47,179931.66,3828.333191489362,19408.66,45,17,5,2,0,43,16,4.26,91.49,34.04,246.48
USR000095,50,204093.35,4081.867,37175.14,50,16,4,2,0,47,17,4.0,94.0,34.0,279.58
USR000096,35,156098.61000000002,4459.960285714286,35513.0,35,15,3,4,0,33,16,11.43,94.29,45.71,213.83
USR000097,42,121752.75,2898.875,29041.39,41,15,5,0,0,42,17,0.0,100.0,40.48,166.78
USR000098,60,175066.18,2917.7696666666666,16015.99,59,16,5,5,0,58,27,8.33,96.67,45.0,239.82
USR000099,47,132743.2,2824.3234042553195,30744.76,45,15,5,6,0,46,19,12.77,97.87,40.43,181.84
USR000100,40,157319.64,3932.9910000000004,33406.57,39,18,3,3,0,38,10,7.5,95.0,25.0,215.51
USR000101,42,99300.37,2364.2945238095235,9531.69,40,12,4,0,0,42,12,0.0,100.0,28.57,136.03
USR000102,41,114187.83,2785.069024390244,34868.79,40,16,2,4,0,41,11,9.76,100.0,26.83,156.42
USR000103,48,187911.59,3914.8247916666664,35459.9,48,15,5,2,0,48,19,4.17,100.0,39.58,257.41
USR000104,44,135028.15,3068.821590909091,29187.38,43,16,6,3,0,43,18,6.82,97.73,40.91,184.97
USR000105,45,148080.54,3290.6786666666667,50361.22,45,16,4,1,0,44,14,2.22,97.78,31.11,202.85
USR000106,55,117297.45,2132.680909090909,15599.17,55,16,4,1,0,53,19,1.82,96.36,34.55,160.68
USR000107,32,128956.49,4029.8903125,24585.61,32,15,3,1,0,32,11,3.12,100.0,34.38,176.65
USR000108,51,159235.65,3122.2676470588235,29051.06,50,16,4,1,0,51,25,1.96,100.0,49.02,218.13
USR000109,54,185373.44,3432.8414814814814,24012.72,53,18,4,2,0,52,14,3.7,96.3,25.93,253.94
USR000110,51,156092.53,3060.637843137255,27862.14,51,16,3,1,0,50,14,1.96,98.04,27.45,213.83
USR000111,55,99885.75,1816.1045454545454,17888.65,55,14,3,2,0,50,16,3.64,90.91,29.09,136.83
USR000112,61,144061.33,2361.6611475409836,10723.51,61,16,4,4,0,57,25,6.56,93.44,40.98,197.34
USR000113,52,151755.92,2918.383076923077,37135.16,52,18,4,3,0,48,23,5.77,92.31,44.23,207.88
USR000114,49,164218.46,3351.3971428571426,46704.22,48,18,4,1,0,46,18,2.04,93.88,36.73,224.96
USR000115,52,125906.09,2421.2709615384615,14631.54,52,15,5,5,0,51,18,9.62,98.08,34.62,172.47
USR000116,46,227406.47999999998,4943.619130434782,21641.29,46,18,2,0,0,42,16,0.0,91.3,34.78,311.52
USR000117,46,118475.73,2575.5593478260867,23222.69,46,17,4,4,0,45,11,8.7,97.83,23.91,162.3
USR000118,43,168477.58,3918.083255813953,35348.94,43,17,4,2,0,41,17,4.65,95.35,39.53,230.79
USR000119,72,215914.7,2998.8152777777777,29254.73,69,16,3,5,0,69,25,6.94,95.83,34.72,295.77
USR000120,65,210135.91,3232.860153846154,55667.93,64,17,4,3,0,64,24,4.62,98.46,36.92,287.86
USR000121,44,164228.1,3732.456818181818,50355.94,43,16,5,1,0,41,11,2.27,93.18,25.0,224.97
USR000122,46,110888.8,2410.6260869565217,12801.55,46,16,4,3,0,46,20,6.52,100.0,43.48,151.9
USR000123,54,168648.79,3123.125740740741,23819.65,53,15,4,5,0,53,20,9.26,98.15,37.04,231.03
USR000124,55,182204.12,3312.802181818182,32949.44,53,18,3,4,0,55,12,7.27,100.0,21.82,249.59
USR000125,65,251949.87,3876.1518461538462,29780.0,63,16,3,7,0,62,29,10.77,95.38,44.62,345.14
USR000126,50,100408.76,2008.1752,8352.21,49,15,2,1,0,48,18,2.0,96.0,36.0,137.55
USR000127,62,203664.84,3284.9167741935485,18512.5,62,17,5,3,0,60,28,4.84,96.77,45.16,278.99
USR000128,45,138661.06,3081.356888888889,29806.84,44,16,3,4,0,41,11,8.89,91.11,24.44,189.95
USR000129,61,204456.56,3351.7468852459015,32747.98,60,18,5,5,0,58,18,8.2,95.08,29.51,280.08
USR000130,51,174924.33,3429.8888235294116,40611.3,51,18,4,6,0,50,18,11.76,98.04,35.29,239.62
USR000131,49,171801.83,3506.1597959183673,32419.01,49,14,4,4,0,43,20,8.16,87.76,40.82,235.34
USR000132,62,173139.06,2792.565483870968,40508.95,62,18,4,1,0,58,18,1.61,93.55,29.03,237.18
USR000133,41,140913.38999999998,3436.911951219512,17825.37,41,13,2,0,0,41,11,0.0,100.0,26.83,193.03
USR000134,58,241634.41,4166.110517241379,41014.75,57,16,4,4,1,56,25,6.9,96.55,43.1,331.01
USR000135,52,121234.34,2331.4296153846153,18681.46,51,16,4,4,0,48,18,7.69,92.31,34.62,166.07
USR000136,42,162233.98,3862.7138095238097,34250.89,42,15,5,1,0,41,22,2.38,97.62,52.38,222.24
USR000137,54,110406.22,2044.5596296296296,17862.94,53,16,5,6,0,50,20,11.11,92.59,37.04,151.24
USR000138,68,223403.15,3285.3404411764704,43143.9,66,18,5,6,0,66,21,8.82,97.06,30.88,306.03
USR000139,68,132134.2,1943.15,10707.45,65,17,6,7,0,65,16,10.29,95.59,23.53,181.01
USR000140,59,239573.47,4060.567288135593,59978.83,58,18,4,5,0,56,27,8.47,94.92,45.76,328.18
USR000141,53,206659.1,3899.2283018867925,24968.09,53,17,5,2,0,52,20,3.77,98.11,37.74,283.09
USR000142,53,176484.51,3329.8964150943398,28456.77,53,16,4,5,0,51,21,9.43,96.23,39.62,241.76
USR000143,54,122660.21,2271.4853703703707,21300.72,53,17,4,6,0,53,17,11.11,98.15,31.48,168.03
USR000144,40,152915.96,3822.899,40511.58,40,17,5,3,0,39,13,7.5,97.5,32.5,209.47
USR000145,48,156325.54,3256.7820833333335,30791.06,48,17,3,0,0,48,16,0.0,100.0,33.33,214.14
USR000146,55,121600.17,2210.9121818181816,12505.96,53,17,5,2,0,53,19,3.64,96.36,34.55,166.58
USR000147,45,164850.24,3663.3386666666665,50000.0,45,16,5,3,0,45,12,6.67,100.0,26.67,225.82
USR000148,41,81783.55,1994.720731707317,26210.24,40,13,4,2,0,41,12,4.88,100.0,29.27,112.03
USR000149,47,109756.13,2335.236808510638,12719.24,46,17,3,3,0,47,20,6.38,100.0,42.55,150.35
USR000150,50,144052.54,2881.0508,42963.0,50,15,4,1,0,49,12,2.0,98.0,24.0,197.33
USR000151,44,115072.29,2615.279318181818,22559.97,44,16,4,3,0,42,15,6.82,95.45,34.09,157.63
USR000152,47,147723.36000000002,3143.050212765958,21355.49,47,17,4,1,0,47,12,2.13,100.0,25.53,202.36
USR000153,53,228912.43,4319.102452830189,32121.41,53,17,4,5,0,52,22,9.43,98.11,41.51,313.58
USR000154,60,166387.03,2773.1171666666664,23774.42,60,17,3,1,0,60,22,1.67,100.0,36.67,227.93
USR000155,59,129160.83,2189.1666101694914,18051.37,58,17,5,5,0,58,22,8.47,98.31,37.29,176.93
USR000156,45,146133.54,3247.4120000000003,64298.94,44,14,4,1,0,45,16,2.22,100.0,35.56,200.18
USR000157,44,160795.58000000002,3654.445,33234.48,44,18,5,4,0,44,12,9.09,100.0,27.27,220.27
USR000158,59,154744.06,2622.780677966102,16448.72,59,18,5,5,0,56,22,8.47,94.92,37.29,211.98
USR000159,49,120305.0,2455.204081632653,17824.85,49,16,5,3,0,47,22,6.12,95.92,44.9,164.8
USR000160,51,80872.29,1585.731176470588,9546.01,51,16,5,1,0,51,25,1.96,100.0,49.02,110.78
USR000161,44,83019.88,1886.8154545454547,8540.86,44,15,4,2,0,41,17,4.55,93.18,38.64,113.73
USR000162,52,218071.52,4193.683076923076,38784.53,50,18,4,5,0,50,18,9.62,96.15,34.62,298.73
USR000163,52,133106.8,2559.7461538461534,19258.8,51,16,4,4,0,52,25,7.69,100.0,48.08,182.34
USR000164,35,149804.87,4280.139142857142,22932.37,35,16,5,2,0,34,7,5.71,97.14,20.0,205.21
USR000165,38,121054.47,3185.643947368421,17660.96,38,14,3,0,0,38,10,0.0,100.0,26.32,165.83
USR000166,38,122084.3,3212.7447368421053,25293.14,38,16,4,4,0,37,17,10.53,97.37,44.74,167.24
USR000167,48,120206.62,2504.304583333333,15212.13,48,16,4,1,0,48,15,2.08,100.0,31.25,164.67
USR000168,56,236725.57,4227.242321428572,28738.24,56,18,3,3,0,56,25,5.36,100.0,44.64,324.28
USR000169,44,139915.63,3179.900681818182,35835.72,43,17,3,3,0,44,11,6.82,100.0,25.0,191.67
USR000170,46,151245.09,3287.9367391304345,29804.85,46,15,5,3,0,45,15,6.52,97.83,32.61,207.19
USR000171,58,93755.58,1616.4755172413793,5774.13,58,16,4,3,0,57,23,5.17,98.28,39.66,128.43
USR000172,49,224088.69,4573.238571428571,60337.98,49,15,4,6,0,46,12,12.24,93.88,24.49,306.97
USR000173,45,176044.4,3912.0977777777775,24781.12,45,17,5,2,0,44,16,4.44,97.78,35.56,241.16
USR000174,65,117585.83,1809.0127692307692,10953.5,62,16,5,4,0,59,19,6.15,90.77,29.23,161.08
USR000175,43,127684.61,2969.409534883721,18262.17,42,16,5,3,0,42,12,6.98,97.67,27.91,174.91
USR000176,51,162079.21,3178.023725490196,25123.48,51,17,3,5,0,47,20,9.8,92.16,39.22,222.03
USR000177,47,134662.33,2865.1559574468083,14077.98,45,15,4,4,0,46,15,8.51,97.87,31.91,184.47
USR000178,51,120354.43,2359.8907843137254,18097.23,51,18,5,6,0,49,23,11.76,96.08,45.1,164.87
USR000179,39,138371.24,3547.9805128205126,21425.26,39,15,3,1,0,39,12,2.56,100.0,30.77,189.55
USR000180,60,294300.92,4905.015333333333,65658.48,59,16,4,7,0,59,18,11.67,98.33,30.0,403.15
USR000181,42,106657.4,2539.4619047619044,22290.97,40,15,4,0,0,40,13,0.0,95.24,30.95,146.11
USR000182,45,234541.85,5212.041111111112,85929.05,44,16,3,1,0,45,19,2.22,100.0,42.22,321.29
USR000183,48,169643.8,3534.245833333333,24966.38,46,15,4,2,0,45,14,4.17,93.75,29.17,232.39
USR000184,58,150167.76,2589.0993103448277,17904.13,58,17,4,2,0,54,29,3.45,93.1,50.0,205.71
USR000185,53,175826.66,3317.4841509433963,28395.22,52,16,4,4,0,50,24,7.55,94.34,45.28,240.86
USR000186,55,165528.2,3009.6036363636367,13936.32,55,16,5,1,0,55,19,1.82,100.0,34.55,226.75
USR000187,49,97402.41,1987.8042857142857,11775.63,48,16,3,4,0,47,14,8.16,95.92,28.57,133.43
USR000188,59,192818.47,3268.1096610169493,29364.05,58,17,5,4,0,59,15,6.78,100.0,25.42,264.13
USR000189,54,148534.15,2750.6324074074073,19980.47,54,15,5,3,0,53,24,5.56,98.15,44.44,203.47
USR000190,46,106313.77,2311.1689130434784,14118.97,46,17,4,0,0,43,14,0.0,93.48,30.43,145.64
USR000191,48,194969.87,4061.8722916666666,41814.91,48,16,5,5,0,47,16,10.42,97.92,33.33,267.08
USR000192,53,195348.29,3685.81679245283,36857.98,52,16,4,4,0,53,19,7.55,100.0,35.85,267.6
USR000193,58,154853.15,2669.881896551724,18309.86,58,16,3,4,0,54,17,6.9,93.1,29.31,212.13
USR000194,46,157198.77,3417.364565217391,23578.68,46,17,3,4,0,42,18,8.7,91.3,39.13,215.34
USR000195,46,137899.05,2997.8054347826082,18354.15,45,16,4,1,0,46,14,2.17,100.0,30.43,188.9
USR000196,41,114952.2,2803.712195121951,40642.02,41,14,5,4,0,40,13,9.76,97.56,31.71,157.47
USR000197,55,171730.9,3122.38,15473.59,54,17,5,4,0,50,15,7.27,90.91,27.27,235.25
USR000198,43,128461.4,2987.474418604651,23247.22,43,14,4,6,0,40,15,13.95,93.02,34.88,175.97
USR000199,58,180321.41,3108.989827586207,21501.1,58,18,5,2,0,54,15,3.45,93.1,25.86,247.02
USR000200,44,138195.34,3140.8031818181817,19860.88,43,17,5,4,0,44,19,9.09,100.0,43.18,189.31
USR000201,61,145138.97,2379.3273770491805,17678.15,60,17,4,4,0,59,22,6.56,96.72,36.07,198.82
USR000202,46,155352.3,3377.223913043478,35830.5,45,17,3,2,0,45,22,4.35,97.83,47.83,212.81
USR000203,49,179669.99,3666.7344897959183,19984.29,49,16,3,0,0,49,15,0.0,100.0,30.61,246.12
USR000204,52,153004.62,2942.3965384615385,17579.75,51,15,3,1,0,48,15,1.92,92.31,28.85,209.6
USR000205,54,163646.04,3030.4822222222224,19441.62,54,18,4,1,0,53,14,1.85,98.15,25.93,224.17
USR000206,56,145735.37,2602.4173214285715,12912.01,55,17,5,2,0,51,16,3.57,91.07,28.57,199.64
USR000207,35,87743.38,2506.9537142857143,13071.52,34,13,5,3,0,34,11,8.57,97.14,31.43,120.2
USR000208,54,231720.58000000002,4291.121851851852,34883.44,54,16,4,4,0,53,14,7.41,98.15,25.93,317.43
USR000209,59,177991.71000000002,3016.808644067797,40128.66,58,17,5,3,0,57,24,5.08,96.61,40.68,243.82
USR000210,68,266442.45,3918.271323529412,55000.0,67,17,3,6,0,65,20,8.82,95.59,29.41,364.99
USR000211,45,94976.32,2110.584888888889,23214.32,45,15,5,1,0,42,15,2.22,93.33,33.33,130.1
USR000212,36,106937.58,2970.4883333333332,22099.18,36,17,5,2,0,35,11,5.56,97.22,30.56,146.49
USR000213,59,179389.76,3040.504406779661,27156.12,59,18,3,2,0,56,25,3.39,94.92,42.37,245.74
USR000214,41,215774.32,5262.788292682927,59885.27,40,14,3,3,0,40,13,7.32,97.56,31.71,295.58
USR000215,45,97605.68000000001,2169.0151111111113,14494.67,44,14,4,3,0,43,14,6.67,95.56,31.11,133.71
USR000216,45,135379.88999999998,3008.4419999999996,22295.46,45,18,5,3,0,45,15,6.67,100.0,33.33,185.45
USR000217,51,117505.31,2304.0256862745096,19094.83,51,15,4,2,0,47,22,3.92,92.16,43.14,160.97
USR000218,46,95468.08,2075.393043478261,16983.46,45,14,3,2,0,45,16,4.35,97.83,34.78,130.78
USR000219,46,154851.2,3366.330434782609,27643.4,46,18,5,2,0,44,16,4.35,95.65,34.78,212.12
USR000220,59,200402.84,3396.6583050847457,28975.1,56,16,5,6,0,59,22,10.17,100.0,37.29,274.52
USR000221,51,179324.69,3516.170392156863,22525.44,51,16,4,5,0,48,22,9.8,94.12,43.14,245.65
USR000222,55,155345.52,2824.464,29770.64,55,18,4,4,1,55,19,7.27,100.0,34.55,212.8
USR000223,53,170915.08,3224.812830188679,18104.73,53,18,4,1,0,53,17,1.89,100.0,32.08,234.13
USR000224,55,220507.36,4009.224727272727,45247.68,54,17,5,2,0,55,14,3.64,100.0,25.45,302.06
USR000225,47,117391.94,2497.7008510638298,13759.97,47,15,4,1,0,46,18,2.13,97.87,38.3,160.81
USR000226,53,141219.02,2664.5098113207546,12017.34,53,17,6,4,0,50,19,7.55,94.34,35.85,193.45
USR000227,36,126497.54999999999,3513.820833333333,31294.17,35,17,5,0,0,34,12,0.0,94.44,33.33,173.28
USR000228,47,130605.19,2778.833829787234,29513.42,47,16,4,0,0,46,16,0.0,97.87,34.04,178.91
USR000229,48,87733.0,1827.7708333333333,7256.19,48,17,5,1,0,47,12,2.08,97.92,25.0,120.18
USR000230,61,218357.61,3579.632950819672,57003.1,61,15,6,1,0,59,22,1.64,96.72,36.07,299.12
USR000231,34,121449.72,3572.050588235294,26084.1,34,14,4,1,0,34,10,2.94,100.0,29.41,166.37
USR000232,64,191666.66999999998,2994.7917187499997,23567.69,63,16,5,3,0,64,24,4.69,100.0,37.5,262.56
USR000233,46,113905.88,2476.2147826086957,15740.02,45,16,3,2,0,45,12,4.35,97.83,26.09,156.04
USR000234,47,167976.38,3573.9655319148937,24144.06,46,16,4,5,0,44,13,10.64,93.62,27.66,230.1
USR000235,37,99833.97,2698.2154054054054,16704.05,37,15,4,5,0,35,13,13.51,94.59,35.14,136.76
USR000236,48,112089.61,2335.200208333333,18532.25,48,15,5,1,0,48,15,2.08,100.0,31.25,153.55
USR000237,63,221691.98,3518.9203174603176,39680.96,62,17,4,3,0,60,20,4.76,95.24,31.75,303.69
USR000238,43,169289.56,3936.966511627907,48294.4,42,17,5,1,0,43,13,2.33,100.0,30.23,231.9
USR000239,42,121400.19,2890.4807142857144,12595.23,41,14,4,4,0,41,10,9.52,97.62,23.81,166.3
USR000240,46,111878.73,2432.146304347826,26671.42,45,17,5,2,0,43,11,4.35,93.48,23.91,153.26
USR000241,52,125159.21,2406.907884615385,25563.93,52,17,4,1,0,50,19,1.92,96.15,36.54,171.45
USR000242,58,185811.62,3203.648620689655,20322.6,58,18,5,2,0,54,20,3.45,93.1,34.48,254.54
USR000243,43,124343.34,2891.705581395349,18383.66,43,14,6,3,0,42,8,6.98,97.67,18.6,170.33
USR000244,54,123785.98,2292.332962962963,11427.18,53,17,6,3,0,52,19,5.56,96.3,35.19,169.57
USR000245,39,122839.76,3149.7374358974357,37180.6,39,14,3,3,0,36,17,7.69,92.31,43.59,168.27
USR000246,35,100392.5,2868.3571428571427,15588.32,35,13,5,3,0,34,11,8.57,97.14,31.43,137.52
USR000247,54,122387.18000000001,2266.429259259259,34744.4,54,17,3,5,0,51,18,9.26,94.44,33.33,167.65
USR000248,52,108016.22,2077.235,23648.45,52,16,6,4,0,50,19,7.69,96.15,36.54,147.97
