user_id,total_txns,total_spend,avg_txn_amount,max_txn_amount,unique_merchants,unique_categories,unique_platforms,failed_txns,fraud_txns,cross_city_txns,festival_txns,failure_rate,cross_city_rate,festival_txn_rate,avg_spend_per_day,evening_txns,night_txns,weekend_txns,morning_txns,food_txns,p2p_txns,investment_txns,ecom_txns,travel_txns,qr_txns,upi_id_txns,platform_loyalty_rate,evening_ratio,night_ratio,weekend_ratio,food_ratio,p2p_ratio,investment_ratio,ecom_ratio,travel_ratio,qr_ratio,segment,segment_name,pca1,pca2
USR000011,58,162861.98,2807.9651724137934,23192.44,57,18,4,1,0,54,8,1.72,93.1,13.79,223.1,13,1,18,26,8,3,1,3,2,23,21,0.8103448275862069,0.2241,0.0172,0.3103,0.1379,0.0517,0.0172,0.0517,0.0345,0.3966,0,Active Everyday Users,0.7763718383629553,0.9383423097827951
USR000012,37,107931.81,2917.075945945946,28315.1,37,16,3,3,0,36,9,8.11,97.3,24.32,147.85,9,0,10,6,2,4,0,3,3,15,14,0.8648648648648649,0.2432,0.0,0.2703,0.0541,0.1081,0.0,0.0811,0.0811,0.4054,2,Loyal Digital Users,-1.6666300475669222,-1.351166500910993
USR000013,58,170339.31,2936.8846551724137,18991.32,58,18,3,3,0,58,15,5.17,100.0,25.86,233.34,17,3,15,23,8,3,1,4,4,21,18,0.8275862068965517,0.2931,0.0517,0.2586,0.1379,0.0517,0.0172,0.069,0.069,0.3621,0,Active Everyday Users,0.9864811217651555,-0.021722633521014122
USR000014,47,117812.53,2506.649574468085,17695.8,47,18,2,1,0,44,22,2.13,93.62,46.81,161.39,14,2,14,16,5,2,1,1,3,12,18,0.9787234042553191,0.2979,0.0426,0.2979,0.1064,0.0426,0.0213,0.0213,0.0638,0.2553,2,Loyal Digital Users,-0.8312660786379822,-2.684080284432879
USR000015,56,177519.14,3169.984642857143,17957.27,56,17,3,2,0,55,9,3.57,98.21,16.07,243.18,17,2,24,16,5,3,3,3,1,21,29,0.8392857142857143,0.3036,0.0357,0.4286,0.0893,0.0536,0.0536,0.0536,0.0179,0.375,3,Premium Investors,1.5701951269948307,-0.7661880950036931
USR000016,53,160192.62,3022.502264150943,38209.53,53,17,5,4,0,51,17,7.55,96.23,32.08,219.44,16,1,13,17,7,3,1,2,0,20,20,0.8679245283018868,0.3019,0.0189,0.2453,0.1321,0.0566,0.0189,0.0377,0.0,0.3774,0,Active Everyday Users,0.5742842413354005,0.5774174367160806
USR000017,51,166912.2,3272.788235294118,31485.73,48,18,5,1,0,51,13,1.96,100.0,25.49,228.65,14,3,17,15,2,5,1,6,3,16,21,0.803921568627451,0.2745,0.0588,0.3333,0.0392,0.098,0.0196,0.1176,0.0588,0.3137,0,Active Everyday Users,1.2878492191612372,1.1586207238178947
USR000018,54,110362.46,2043.7492592592596,17253.33,53,16,2,7,0,54,19,12.96,100.0,35.19,151.18,22,2,18,17,7,2,1,2,3,26,16,0.9629629629629629,0.4074,0.037,0.3333,0.1296,0.037,0.0185,0.037,0.0556,0.4815,2,Loyal Digital Users,-1.5654069535732622,-2.3667143116585674
USR000019,61,190981.75,3130.848360655738,24484.81,60,17,5,3,0,59,20,4.92,96.72,32.79,261.62,18,1,26,21,12,0,2,7,3,24,19,0.8032786885245902,0.2951,0.0164,0.4262,0.1967,0.0,0.0328,0.1148,0.0492,0.3934,0,Active Everyday Users,1.672237298632166,1.6114270697415733
USR000020,46,166506.9,3619.715217391304,19694.87,46,16,3,1,0,46,20,2.17,100.0,43.48,228.09,18,2,12,9,7,0,2,5,2,18,18,0.8913043478260869,0.3913,0.0435,0.2609,0.1522,0.0,0.0435,0.1087,0.0435,0.3913,2,Loyal Digital Users,0.6553805141089422,-1.7636940344097427
USR000021,42,87450.06,2082.1442857142856,18319.17,42,17,4,0,0,42,17,0.0,100.0,40.48,119.79,12,0,10,14,8,2,1,2,1,19,16,0.8333333333333334,0.2857,0.0,0.2381,0.1905,0.0476,0.0238,0.0476,0.0238,0.4524,1,Casual Small Spenders,-2.278566075424786,0.23078060168031309
USR000022,51,173128.08000000002,3394.668235294118,27545.78,50,16,3,2,0,48,14,3.92,94.12,27.45,237.16,15,3,17,14,7,7,3,2,0,18,24,0.8823529411764706,0.2941,0.0588,0.3333,0.1373,0.1373,0.0588,0.0392,0.0,0.3529,2,Loyal Digital Users,1.1340611800958915,-1.5456759961586883
USR000023,61,156505.74,2565.667868852459,33947.2,59,16,6,1,0,60,23,1.64,98.36,37.7,214.39,24,1,9,16,9,4,2,8,5,25,21,0.8360655737704918,0.3934,0.0164,0.1475,0.1475,0.0656,0.0328,0.1311,0.082,0.4098,0,Active Everyday Users,0.5243777468151855,1.9508281761180508
USR000024,45,143811.41,3195.809111111111,21121.0,45,18,3,1,0,43,15,2.22,95.56,33.33,197.0,10,0,11,16,4,3,1,3,2,16,16,0.9333333333333333,0.2222,0.0,0.2444,0.0889,0.0667,0.0222,0.0667,0.0444,0.3556,2,Loyal Digital Users,0.19871926974892878,-1.8659288855092564
USR000025,46,86891.89,1888.9541304347829,18679.73,46,15,6,4,0,44,16,8.7,95.65,34.78,119.03,11,1,7,16,6,2,0,1,2,19,17,0.7608695652173914,0.2391,0.0217,0.1522,0.1304,0.0435,0.0,0.0217,0.0435,0.413,1,Casual Small Spenders,-2.619199619992283,2.6157055664516204
USR000026,41,130012.21,3171.029512195122,25739.15,41,17,4,0,0,41,13,0.0,100.0,31.71,178.1,18,2,13,9,10,3,1,4,2,18,11,0.8536585365853658,0.439,0.0488,0.3171,0.2439,0.0732,0.0244,0.0976,0.0488,0.439,1,Casual Small Spenders,-0.8175275222899259,-0.2525101716802599
USR000027,56,170675.25,3047.772321428572,37693.24,54,16,5,4,0,53,22,7.14,94.64,39.29,233.8,20,2,12,18,11,4,0,4,2,16,26,0.7321428571428571,0.3571,0.0357,0.2143,0.1964,0.0714,0.0,0.0714,0.0357,0.2857,0,Active Everyday Users,0.383492631905575,2.4185881563872083
USR000028,41,132429.03,3229.9763414634144,29098.68,41,16,4,2,0,39,9,4.88,95.12,21.95,181.41,14,3,9,12,7,1,2,4,1,17,14,0.8536585365853658,0.3415,0.0732,0.2195,0.1707,0.0244,0.0488,0.0976,0.0244,0.4146,2,Loyal Digital Users,-0.5488192048006559,-0.6994257804415545
USR000029,48,136478.46,2843.30125,29492.08,47,15,3,9,0,48,11,18.75,100.0,22.92,186.96,17,3,16,15,9,1,2,6,1,13,22,0.8958333333333334,0.3542,0.0625,0.3333,0.1875,0.0208,0.0417,0.125,0.0208,0.2708,2,Loyal Digital Users,-0.833080548389806,-1.617218526191618
USR000030,44,67304.01,1529.6365909090907,6127.87,44,14,4,1,0,43,14,2.27,97.73,31.82,92.2,16,1,17,16,8,3,0,4,1,12,22,0.8636363636363636,0.3636,0.0227,0.3864,0.1818,0.0682,0.0,0.0909,0.0227,0.2727,1,Casual Small Spenders,-3.965119592359587,0.02678128172991768
USR000031,54,152720.94999999998,2828.1657407407406,13864.73,49,17,6,4,0,51,25,7.41,94.44,46.3,209.21,14,2,12,17,5,4,1,4,4,20,22,0.8333333333333334,0.2593,0.037,0.2222,0.0926,0.0741,0.0185,0.0741,0.0741,0.3704,0,Active Everyday Users,0.5821180868134965,1.8313119079744602
USR000032,64,187193.82,2924.9034375,32158.41,63,17,5,7,0,62,19,10.94,96.88,29.69,256.43,20,1,16,19,7,4,3,9,4,18,29,0.796875,0.3125,0.0156,0.25,0.1094,0.0625,0.0469,0.1406,0.0625,0.2812,0,Active Everyday Users,1.9877378299210204,1.5685899010534678
USR000033,52,194568.13,3741.694807692308,34405.45,51,15,4,2,0,50,17,3.85,96.15,32.69,266.53,22,2,19,17,7,0,0,5,2,14,24,0.9230769230769231,0.4231,0.0385,0.3654,0.1346,0.0,0.0,0.0962,0.0385,0.2692,2,Loyal Digital Users,1.0007485703816035,-1.0008035539439484
USR000034,50,155555.35,3111.107,19481.22,49,17,5,2,0,49,19,4.0,98.0,38.0,213.09,20,3,16,15,7,2,1,7,2,16,23,0.86,0.4,0.06,0.32,0.14,0.04,0.02,0.14,0.04,0.32,0,Active Everyday Users,0.34772761251910844,0.574747675478889
USR000035,55,189417.86,3443.9610909090907,27456.49,53,17,3,0,0,53,15,0.0,96.36,27.27,259.48,23,1,9,15,9,3,3,5,6,21,23,0.8727272727272727,0.4182,0.0182,0.1636,0.1636,0.0545,0.0545,0.0909,0.1091,0.3818,3,Premium Investors,1.8418343732518752,-1.0777269273083148
USR000036,43,116149.36,2701.1479069767443,22901.08,43,15,5,2,0,43,16,4.65,100.0,37.21,159.11,12,0,6,13,12,2,2,2,2,17,16,0.813953488372093,0.2791,0.0,0.1395,0.2791,0.0465,0.0465,0.0465,0.0465,0.3953,1,Casual Small Spenders,-1.4717862911450796,0.7992791708180497
USR000037,54,145387.76,2692.365925925926,24141.36,53,17,5,2,0,50,16,3.7,92.59,29.63,199.16,16,3,12,15,10,2,1,7,1,17,21,0.8888888888888888,0.2963,0.0556,0.2222,0.1852,0.037,0.0185,0.1296,0.0185,0.3148,0,Active Everyday Users,-0.22436431735054838,0.5794705229647008
USR000038,54,176670.84,3271.682222222222,26438.41,53,17,5,5,0,51,22,9.26,94.44,40.74,242.01,10,3,13,15,2,2,1,3,2,16,28,0.8148148148148148,0.1852,0.0556,0.2407,0.037,0.037,0.0185,0.0556,0.037,0.2963,0,Active Everyday Users,1.4266324974866327,1.0613472910512975
USR000039,46,80882.37,1758.3123913043478,20433.37,45,14,3,2,0,45,8,4.35,97.83,17.39,110.8,16,2,8,10,10,2,1,2,0,14,20,0.8478260869565217,0.3478,0.0435,0.1739,0.2174,0.0435,0.0217,0.0435,0.0,0.3043,1,Casual Small Spenders,-3.412076297550329,-0.6804247890084026
USR000040,39,92780.22,2378.98,11846.77,39,15,4,1,0,38,15,2.56,97.44,38.46,127.1,18,0,8,9,4,0,0,3,4,22,11,0.8461538461538461,0.4615,0.0,0.2051,0.1026,0.0,0.0,0.0769,0.1026,0.5641,1,Casual Small Spenders,-2.5206735570096854,-0.17753066377739832
USR000041,49,170784.88,3485.4057142857146,20143.67,48,14,3,3,0,46,13,6.12,93.88,26.53,233.95,20,1,17,11,2,3,0,3,0,21,15,0.9387755102040817,0.4082,0.0204,0.3469,0.0408,0.0612,0.0,0.0612,0.0,0.4286,2,Loyal Digital Users,0.1226383295583308,-2.2148170124739397
USR000042,55,147613.47,2683.881272727273,28152.02,54,15,4,2,0,53,15,3.64,96.36,27.27,202.21,18,2,13,12,9,2,1,1,5,20,21,0.8727272727272727,0.3273,0.0364,0.2364,0.1636,0.0364,0.0182,0.0182,0.0909,0.3636,0,Active Everyday Users,-0.37110996715748873,-0.01456762785360834
USR000043,55,152018.12,2763.965818181818,19605.4,55,17,4,5,0,53,21,9.09,96.36,38.18,208.24,19,1,18,24,6,2,4,6,1,24,21,0.8909090909090909,0.3455,0.0182,0.3273,0.1091,0.0364,0.0727,0.1091,0.0182,0.4364,2,Loyal Digital Users,0.9207421982208991,-0.6961401192027553
USR000044,49,160309.9,3271.6306122448977,32008.14,47,15,5,2,0,46,12,4.08,93.88,24.49,219.6,17,0,7,14,10,3,2,3,1,23,18,0.8775510204081632,0.3469,0.0,0.1429,0.2041,0.0612,0.0408,0.0612,0.0204,0.4694,0,Active Everyday Users,0.19067092855624027,0.013583951590473316
USR000045,51,176835.76,3467.367843137255,37884.48,50,15,5,3,0,50,16,5.88,98.04,31.37,242.24,18,2,10,12,5,4,2,5,1,16,21,0.8627450980392157,0.3529,0.0392,0.1961,0.098,0.0784,0.0392,0.098,0.0196,0.3137,0,Active Everyday Users,1.040237782639691,0.02270899041920246
USR000046,58,200845.1,3462.846551724138,36533.67,58,17,4,3,0,53,16,5.17,91.38,27.59,275.13,12,1,15,19,11,2,1,3,1,25,19,0.8620689655172413,0.2069,0.0172,0.2586,0.1897,0.0345,0.0172,0.0517,0.0172,0.431,3,Premium Investors,1.6906579275598885,0.10563058318487369
USR000047,39,105791.49,2712.602307692308,12729.48,38,15,4,2,0,38,19,5.13,97.44,48.72,144.92,11,0,9,15,5,1,0,5,3,9,21,0.9230769230769231,0.2821,0.0,0.2308,0.1282,0.0256,0.0,0.1282,0.0769,0.2308,1,Casual Small Spenders,-2.153758928846522,-1.1368024333141786
USR000048,39,80873.76,2073.686153846153,15456.7,38,16,3,4,0,39,15,10.26,100.0,38.46,110.79,11,2,12,13,6,2,0,3,1,12,15,0.9230769230769231,0.2821,0.0513,0.3077,0.1538,0.0513,0.0,0.0769,0.0256,0.3077,1,Casual Small Spenders,-3.101061364380678,-1.5946261888528694
USR000049,39,179711.25,4607.9807692307695,50000.0,39,15,4,3,0,38,10,7.69,97.44,25.64,246.18,12,0,12,16,8,0,3,1,1,13,20,0.7948717948717948,0.3077,0.0,0.3077,0.2051,0.0,0.0769,0.0256,0.0256,0.3333,3,Premium Investors,1.5388036706377832,-0.7275047504514925
USR000050,44,228277.33,5188.121136363636,117253.93,43,16,4,3,0,44,14,6.82,100.0,31.82,312.71,15,1,15,17,5,0,2,6,5,15,19,0.8636363636363636,0.3409,0.0227,0.3409,0.1136,0.0,0.0455,0.1364,0.1136,0.3409,3,Premium Investors,3.285352480253037,-1.274268248041924
USR000051,45,125341.43,2785.3651111111108,21903.44,44,15,4,3,0,45,21,6.67,100.0,46.67,171.7,19,1,12,12,9,1,0,5,0,20,9,0.8666666666666667,0.4222,0.0222,0.2667,0.2,0.0222,0.0,0.1111,0.0,0.4444,1,Casual Small Spenders,-1.6802292963460042,-0.31948064218385125
USR000052,54,126413.87,2340.9975925925924,15361.14,54,17,6,3,0,54,15,5.56,100.0,27.78,173.17,19,3,17,14,7,1,2,6,1,18,30,0.7777777777777778,0.3519,0.0556,0.3148,0.1296,0.0185,0.037,0.1111,0.0185,0.3333,0,Active Everyday Users,-0.33561849744425254,2.4188448983861357
USR000053,58,256425.29,4421.125689655172,37659.14,55,17,4,8,0,57,23,13.79,98.28,39.66,351.27,13,1,15,22,3,2,4,4,2,21,22,0.9137931034482759,0.2241,0.0172,0.2586,0.0517,0.0345,0.069,0.069,0.0345,0.3621,3,Premium Investors,4.671740863837232,-1.4292883736856477
USR000054,47,125710.53,2674.6921276595745,23925.11,45,16,4,4,0,46,19,8.51,97.87,40.43,172.21,13,3,11,13,9,3,1,6,5,14,21,0.851063829787234,0.2766,0.0638,0.234,0.1915,0.0638,0.0213,0.1277,0.1064,0.2979,1,Casual Small Spenders,-1.079036760485357,0.03478643784481842
USR000055,38,113791.99,2994.526052631579,19677.59,38,17,3,2,0,36,10,5.26,94.74,26.32,155.88,9,2,16,14,6,0,1,3,1,11,14,0.9210526315789473,0.2368,0.0526,0.4211,0.1579,0.0,0.0263,0.0789,0.0263,0.2895,2,Loyal Digital Users,-1.316813115465694,-1.9117834043096174
USR000056,47,134893.42,2870.0727659574472,22512.75,47,17,4,5,0,47,12,10.64,100.0,25.53,184.79,10,2,11,17,7,1,2,3,1,14,20,0.8723404255319149,0.2128,0.0426,0.234,0.1489,0.0213,0.0426,0.0638,0.0213,0.2979,2,Loyal Digital Users,-0.22385022305585806,-0.5168232124443876
USR000057,41,212519.83,5183.410487804878,62006.77,41,15,3,2,0,38,13,4.88,92.68,31.71,291.12,17,1,5,10,5,6,2,2,3,16,15,0.8536585365853658,0.4146,0.0244,0.122,0.122,0.1463,0.0488,0.0488,0.0732,0.3902,3,Premium Investors,2.5720407117675768,-2.079802977318383
USR000058,53,116570.42,2199.441886792453,14369.66,52,18,5,5,0,50,18,9.43,94.34,33.96,159.69,17,1,10,20,7,2,1,4,3,17,26,0.8301886792452831,0.3208,0.0189,0.1887,0.1321,0.0377,0.0189,0.0755,0.0566,0.3208,0,Active Everyday Users,-0.7106341145077143,1.4153179115170498
USR000059,46,196583.08,4273.5452173913045,28011.87,45,17,3,2,0,45,12,4.35,97.83,26.09,269.29,11,3,15,19,5,1,2,5,2,15,15,0.8913043478260869,0.2391,0.0652,0.3261,0.1087,0.0217,0.0435,0.1087,0.0435,0.3261,3,Premium Investors,2.0532160905376213,-1.9206742727318806
USR000060,48,145183.74,3024.66125,17850.07,48,15,4,2,0,45,17,4.17,93.75,35.42,198.88,20,0,15,15,7,4,0,4,2,19,20,0.9166666666666666,0.4167,0.0,0.3125,0.1458,0.0833,0.0,0.0833,0.0417,0.3958,2,Loyal Digital Users,-0.7204756342084205,-0.8275647877785495
USR000061,60,131623.97,2193.732833333333,15696.6,59,15,6,3,0,60,20,5.0,100.0,33.33,180.31,16,2,21,24,15,4,0,7,5,23,25,0.8,0.2667,0.0333,0.35,0.25,0.0667,0.0,0.1167,0.0833,0.3833,0,Active Everyday Users,-1.2034092323333156,2.786843263580117
USR000062,49,168280.85,3434.3030612244897,21407.54,49,16,3,5,0,47,18,10.2,95.92,36.73,230.52,16,2,13,17,6,4,0,2,3,17,20,0.8571428571428571,0.3265,0.0408,0.2653,0.1224,0.0816,0.0,0.0408,0.0612,0.3469,2,Loyal Digital Users,0.3634787563493094,-0.8785399702366201
USR000063,44,194073.52,4410.761818181819,32338.0,44,18,4,2,0,42,15,4.55,95.45,34.09,265.85,15,0,10,11,1,3,2,3,1,14,21,0.9318181818181818,0.3409,0.0,0.2273,0.0227,0.0682,0.0455,0.0682,0.0227,0.3182,3,Premium Investors,2.6455038745290858,-1.8415832465855226
USR000064,54,191962.42,3554.859629629629,37877.15,53,15,6,4,0,54,19,7.41,100.0,35.19,262.96,19,1,9,15,8,2,3,2,0,22,23,0.7962962962962963,0.3519,0.0185,0.1667,0.1481,0.037,0.0556,0.037,0.0,0.4074,3,Premium Investors,1.7759271201312834,1.5014391689884694
USR000065,58,180840.22,3117.934827586207,29559.36,58,16,4,8,0,58,21,13.79,100.0,36.21,247.73,16,1,16,17,10,1,1,4,2,16,27,0.8275862068965517,0.2759,0.0172,0.2759,0.1724,0.0172,0.0172,0.069,0.0345,0.2759,0,Active Everyday Users,0.914665112345056,0.4440856386821388
USR000066,56,166012.65,2964.511607142857,15120.02,53,18,4,5,0,56,17,8.93,100.0,30.36,227.41,24,2,12,10,4,4,1,3,1,19,27,0.8928571428571429,0.4286,0.0357,0.2143,0.0714,0.0714,0.0179,0.0536,0.0179,0.3393,2,Loyal Digital Users,1.0876318313397224,-0.30936141506364906
USR000067,45,108749.41,2416.653555555556,17089.57,45,16,5,3,0,43,14,6.67,95.56,31.11,148.97,11,3,20,11,8,1,0,6,1,16,22,0.8666666666666667,0.2444,0.0667,0.4444,0.1778,0.0222,0.0,0.1333,0.0222,0.3556,1,Casual Small Spenders,-1.9852303587105087,0.6542546585037763
USR000068,57,210363.9,3690.594736842105,24067.61,56,17,4,4,0,57,17,7.02,100.0,29.82,288.17,15,1,18,14,6,4,5,6,1,23,24,0.8947368421052632,0.2632,0.0175,0.3158,0.1053,0.0702,0.0877,0.1053,0.0175,0.4035,3,Premium Investors,3.1296284149754,-1.10508086339577
USR000069,45,145711.27,3238.028222222222,26558.84,45,16,4,1,0,45,13,2.22,100.0,28.89,199.6,13,1,17,14,6,2,1,3,2,15,19,0.8888888888888888,0.2889,0.0222,0.3778,0.1333,0.0444,0.0222,0.0667,0.0444,0.3333,2,Loyal Digital Users,-0.17621186469022518,-0.7735194980078164
USR000070,49,123439.96,2519.182857142857,36911.0,49,17,4,0,0,49,13,0.0,100.0,26.53,169.1,14,2,12,14,6,1,2,5,1,16,20,0.8571428571428571,0.2857,0.0408,0.2449,0.1224,0.0204,0.0408,0.102,0.0204,0.3265,2,Loyal Digital Users,-0.6256470447401341,-0.185420393510061
USR000071,44,133591.59,3036.1725,23689.66,43,16,5,3,0,43,16,6.82,97.73,36.36,183.0,12,2,15,13,9,2,1,3,2,20,15,0.8863636363636364,0.2727,0.0455,0.3409,0.2045,0.0455,0.0227,0.0682,0.0455,0.4545,1,Casual Small Spenders,-0.7386015592923294,0.10465657413950814
USR000072,60,141506.33,2358.438833333333,16797.86,59,16,5,3,0,60,20,5.0,100.0,33.33,193.84,17,1,15,21,6,5,0,4,4,17,31,0.8833333333333333,0.2833,0.0167,0.25,0.1,0.0833,0.0,0.0667,0.0667,0.2833,0,Active Everyday Users,-0.30854610756392165,0.9175216997138356
USR000073,56,142872.43,2551.293392857143,14832.45,55,17,6,2,0,54,17,3.57,96.43,30.36,195.72,15,2,23,14,3,2,0,7,2,22,23,0.8571428571428571,0.2679,0.0357,0.4107,0.0536,0.0357,0.0,0.125,0.0357,0.3929,0,Active Everyday Users,0.004044748715413874,1.7326735144015155
USR000074,50,123869.9,2477.398,15474.55,49,15,3,3,0,50,19,6.0,100.0,38.0,169.68,17,3,16,17,8,2,2,8,4,19,17,0.92,0.34,0.06,0.32,0.16,0.04,0.04,0.16,0.08,0.38,2,Loyal Digital Users,-1.1897562448215258,-1.6410620741235253
USR000075,44,191344.28,4348.733636363636,55981.52,44,15,3,2,0,41,12,4.55,93.18,27.27,262.12,14,1,20,12,6,1,2,0,4,22,16,0.9318181818181818,0.3182,0.0227,0.4545,0.1364,0.0227,0.0455,0.0,0.0909,0.5,3,Premium Investors,1.6297891238292497,-2.479401586263242
USR000076,52,121783.42,2341.988846153846,16915.38,49,18,5,5,0,49,19,9.62,94.23,36.54,166.83,14,1,15,20,7,4,1,4,3,25,17,0.8269230769230769,0.2692,0.0192,0.2885,0.1346,0.0769,0.0192,0.0769,0.0577,0.4808,0,Active Everyday Users,-0.5159616703288461,1.383209095646381
USR000077,50,161165.94,3223.3188,16024.34,47,16,3,7,0,50,16,14.0,100.0,32.0,220.78,14,3,15,19,7,1,1,7,3,18,20,0.86,0.28,0.06,0.3,0.14,0.02,0.02,0.14,0.06,0.36,2,Loyal Digital Users,0.16199880421322657,-1.0220439815854843
USR000078,60,173890.82,2898.180333333333,41146.04,60,15,4,3,0,57,13,5.0,95.0,21.67,238.21,14,1,20,23,11,3,0,5,6,19,25,0.9,0.2333,0.0167,0.3333,0.1833,0.05,0.0,0.0833,0.1,0.3167,0,Active Everyday Users,0.23553176613932342,-0.059050030838427706
USR000079,50,124249.31,2484.9862,14412.05,50,16,3,2,0,49,17,4.0,98.0,34.0,170.2,15,1,15,15,6,4,1,7,3,15,25,0.92,0.3,0.02,0.3,0.12,0.08,0.02,0.14,0.06,0.3,2,Loyal Digital Users,-1.0808921237605673,-1.468804546999382
USR000080,46,114081.31,2480.0284782608696,12975.94,46,17,4,3,0,45,13,6.52,97.83,28.26,156.28,21,2,10,8,3,2,0,3,3,19,16,0.8478260869565217,0.4565,0.0435,0.2174,0.0652,0.0435,0.0,0.0652,0.0652,0.413,2,Loyal Digital Users,-1.2050968605376282,0.10799966149991556
USR000081,41,142288.11,3470.441707317073,22488.75,41,17,3,3,0,36,15,7.32,87.8,36.59,194.92,17,3,13,9,5,4,3,1,2,14,19,0.9024390243902439,0.4146,0.0732,0.3171,0.122,0.0976,0.0732,0.0244,0.0488,0.3415,2,Loyal Digital Users,0.5887519434026639,-2.0575611102035736
USR000082,55,157983.5,2872.427272727273,26796.35,54,17,5,3,0,55,15,5.45,100.0,27.27,216.42,14,1,13,20,6,4,3,5,6,19,19,0.8181818181818182,0.2545,0.0182,0.2364,0.1091,0.0727,0.0545,0.0909,0.1091,0.3455,0,Active Everyday Users,1.102388577463601,1.0520782324309939
USR000083,54,155267.32,2875.320740740741,17253.55,52,18,3,1,0,54,21,1.85,100.0,38.89,212.69,16,3,13,15,4,3,1,7,5,13,21,0.8888888888888888,0.2963,0.0556,0.2407,0.0741,0.0556,0.0185,0.1296,0.0926,0.2407,2,Loyal Digital Users,0.6066310568157195,-0.9176321786178975
USR000084,60,262848.71,4380.811833333334,32759.48,59,17,3,5,0,55,20,8.33,91.67,33.33,360.07,22,3,19,12,10,2,4,4,2,21,25,0.9,0.3667,0.05,0.3167,0.1667,0.0333,0.0667,0.0667,0.0333,0.35,3,Premium Investors,4.426481321041056,-1.6434888093071307
